CASE,AH,APH,Month_H,Day_H,Hour_H,AC,APC,Month_C,Day_C,Hour_C
195,4.282001,2.029,jan,4,8,0.513561,0.753,jul,26,17
200,6.163821,2.871,jan,4,9,0.681429,1.032,jul,26,17
210,7.305547,2.997,jan,4,9,0.256231,0.776,jul,27,17
215,7.163935,3.329,jan,4,9,0.778666,1.193,jul,26,16
220,8.281714,3.481,jan,4,9,0.360916,0.957,jul,27,16
230,11.79016,5.049,jan,4,9,0.648151,1.471,jul,27,16
240,6.958632,3.299,jan,4,9,0.63138,1.139,jul,27,16
250,6.419997,3.448,jan,4,9,1.876589,1.888,jul,27,16
270,4.895116,3.44,jan,4,8,8.568308,6.24,nov,25,15
280,5.245272,3.439,jan,4,8,5.374454,4.26,nov,25,15
290,4.920827,3.43,jan,4,8,6.706751,6.183,nov,25,15
300,5.231675,3.436,jan,4,8,5.579465,4.008,jun,30,18
310,5.624992,3.437,jan,4,8,4.008044,3.268,jun,30,18
320,4.114619,3.426,jan,4,8,5.564785,5.427,nov,25,15
395,5.482942,2.116,jan,4,9,0,0,jan,1,2
400,8.197191,3.481,jan,4,9,0.000783,0.222,jul,27,18
410,9.937241,4.265,jan,4,9,0.004537,0.367,jul,27,18
420,8.601481,4.083,jan,4,9,0.027602,0.595,jul,27,17
430,6.626963,4.049,jan,4,9,0.558513,1.452,jul,27,16
440,4.756835,4.024,jan,4,8,4.417627,4.338,oct,16,15
600,4.388594,4.012,jan,4,8,7.029505,6.015,oct,16,15
600FF,6.931332,8.826,jan,4,9,11.885301,9.324,oct,17,16
610,4.506014,4.01,jan,4,8,5.146687,5.661,nov,25,15
620,4.878342,4.021,jan,4,8,4.554667,4.262,jul,20,18
630,5.370047,4.033,jan,4,8,2.970499,3.449,jul,26,18
800,6.089863,3.867,jan,4,9,0.176624,0.992,jul,27,16
810,2.2367,3.554,jan,4,9,1.526277,2.325,sep,2,16
900,1.333823,3.404,jan,4,9,3.054489,3.232,oct,16,16
900FF,4.876202,8.368,jan,4,9,3.811297,4.364,sep,2,16
910,1.585426,3.413,jan,4,9,1.734356,2.733,oct,16,16
920,3.534016,3.723,jan,4,9,3.007135,3.139,jul,26,18
930,4.349898,3.773,jan,4,9,1.897177,2.544,jul,26,18
960,3.390932,2.688,jan,4,9,0.666727,1.256,jul,27,17
